,0,1,2,3,4
[ 1  0  7  0  1  5 19  7  0 -5  0],1517.955660665163,1155.610001895847,3866.537263413056,1044.0831069253002,153.2791294250659
[ 1  0  7  0  1  5 19  7  0 -5  1],1969.9263324194833,315.5927067853421,868.1042711558117,281.844305184764,-452.61129659377843
[ 1  0  7  0  1  5 19  7  0 -5  2],1333.0283942598867,107.27040315723717,594.6988627475741,107.20723517504433,-486.0172112845883
[ 1  1  7  0  1  5 19  7  0 -5  3],1333.9587921422649,106.98892978832839,563.5000628755411,99.5582631931678,-452.25893504873216
[ 1  2  7  0  1  5 19  7  0 -5  4],1133.4225890518353,55.73106191906632,279.40168329679244,50.25475771543555,-311.7401602656943
[ 1  2  7  0  1  5 19  7  0 -5  5],181.3847685828508,6.219244834127852,751.4344498413234,6.0144074761280795,-219.54900563886892
[ 1  2  7  0  1  5 19  7  0 -5  6],395.1023480061236,5.660404385039544,187.06047431016344,10.07988765434968,-262.5836122054296
[ 1  2  7  0  1  5 19  7  0 -5  7],333.4306792049244,3.6097514174257395,202.06241155092908,5.826741688657801,-241.3147453812008
[ 2  2  7  0  1  5 19  7  0 -5  8],123.03574021492295,-56.08740427019607,265.22534725351824,-35.81433030185507,-180.31716729246915
[ 2  3  7  0  1  5 19  7  0 -5  9],61.47527206451982,-45.94094977212098,413.8005576436677,-53.3850594960219,-162.08535314957155
[ 2  2  7  0  1  5 19  7  0 -5 10],129.0898662388029,-46.23719991830394,257.2323920299256,-46.09973633312584,-221.3573985225244
[ 2  3  7  0  1  5 19  7  0 -5 11],168.67288587383112,-41.18673710864182,63.989500733311345,-38.47350787270449,-92.89898705637054
[ 3  3  7  0  1  5 19  7  0 -5 12],-3.742806314132144,-33.80302929002578,106.71240247029111,-40.3583506466743,-89.61396243490303
[ 3  3  7  0  1  5 19  7  0 -5 13],-4.113084020485945,-33.277268298404486,272.08413958249037,-36.4588270266463,-115.37381881504298
[ 3  2  7  0  1  5 19  7  0 -5 14],24.178059638461463,-39.110346241837135,65.5127684036423,-31.4934737842306,-135.92624671973815
[ 3  1  7  0  1  5 19  7  0 -5 15],66.2461179855659,-50.177441864046926,59.65681850637647,-34.32730083651743,-91.92730813103849
[ 2  1  7  0  1  5 19  7  0 -5 16],98.62958292961558,-61.47525360492509,89.27266978409952,-45.76754241256602,-116.5077457954374
[ 2  0  7  0  1  5 19  7  0 -5 17],92.8942898458013,-6.644849703205955,72.48306934530974,-38.75042697490429,-92.44057410259202
[ 2  0  7  0  1  5 19  7  0 -5 18],37.874874987125956,-6.357227065883627,71.1836278854877,-38.71239647025374,-117.6214472264299
[ 1  0  7  0  1  5 19  7  0 -5 19],77.9829129920315,-6.895734987528883,30.099859071338216,-1.3883981222628163,-47.37062835495071
[ 2  0  7  0  1  5 19  7  0 -5 20],37.907017454494245,-7.624273704733943,59.34235502193833,-33.3859046606869,-116.99948071196884
[ 1  0  7  0  1  5 19  7  0 -5 21],18.626565465909785,-3.456215252376101,35.919009829394064,-2.6465841901556963,-39.186770353018325
[ 1  0  7  0  1  5 19  7  0 -5 22],18.211455097559792,-6.093094171975367,12.314916331297532,-4.597135250717662,-57.210320488329174
[ 2  0  7  0  1  5 19  7  0 -5 23],95.20146285221925,-4.796741268358868,31.025794760982,-32.51487261925621,-75.407164553783
[ 2  1  7  0  1  5 19  7  0 -5 24],83.17005301814451,-44.15104159005389,96.33949418041996,-45.28736332833585,-119.05170289634454
[ 2  0  7  0  1  5 19  7  0 -5 25],42.42659775808876,-6.365589980568659,87.92289393503438,-25.602091249796096,-102.93662222966773
[ 1  0  7  0  1  5 19  7  0 -5 26],55.017942195513825,-1.5593187991262554,36.95633116565533,-4.842187881499903,-19.846
[ 1  0  7  0  1  5 19  7  0 -5 27],37.656653758382014,-4.514843031226094,36.079228020899905,-1.8271553914000003,-19.514015359574937
[ 1  0  7  0  1  5 19  7  0 -5 28],18.034445400000003,-3.6736281999999996,25.033081323451363,-2.86264,-29.434229200000004
[ 1  0  7  0  1  5 19  7  0 -5 29],17.8206,-1.99,11.940000000000001,-2.9701,-29.701
[ 1  0  7  0  1  5 19  7  0 -5 30],0.0,0.0,0.0,0.0,0.0
[ 1  0  7  0  1  5 19  7  0 -5  3],427.1283399507007,31.065883024040527,676.6723317991186,39.14452186438636,-408.9091197735835
[ 1  0  7  0  1  5 19  7  0 -5  4],436.3049950422829,21.68193708776555,267.1792949712174,9.006149886160983,-330.745900848004
[ 1  0  7  0  1  5 19  7  0 -5  5],313.7039011422805,-10.400923203514234,204.2601593417098,-8.235826768985032,-330.7646511077547
[ 1  0  7  0  1  5 19  7  0 -5  6],176.77179356138436,-3.8048448088692632,143.62984517300958,-3.2451757556257705,-266.77597988183976
[ 1  0  7  0  1  5 19  7  0 -5  7],215.67468153724008,-7.101069286282331,102.71282091509346,-7.8953510758625285,-187.85036790297661
[ 1  1  7  0  1  5 19  7  0 -5  8],199.91484161221382,-8.001238427049206,270.12204840429035,-2.984264817620396,-292.62798715665497
[ 1  1  7  0  1  5 19  7  0 -5  9],219.15093753124958,-1.5811781780532967,132.37320402688587,-6.797908701465787,-251.5421245255833
[ 1  1  7  0  1  5 19  7  0 -5 10],175.67456099048607,-2.098537372454088,142.63747068801584,-3.5273649874227107,-234.98782974920465
[ 1  2  7  0  1  5 19  7  0 -5 11],237.140177812743,-4.525766574357417,178.303020324689,-2.3766330971013865,-223.4099097756114
[ 1  3  7  0  1  5 19  7  0 -5 12],155.24869099365267,-29.974413181196475,84.82745239212908,-26.79337330597911,-98.07855410788129
[ 1  4  7  0  1  5 19  7  0 -5 13],-8.10895922829688,-12.345561948195332,121.73357384940498,-4.100012922060031,-187.34793788431267
[ 1  4  7  0  1  5 19  7  0 -5 14],-9.589533108739603,-5.282252860822873,75.90627807557725,-4.89360544694084,-147.92938915012945
[ 1  4  7  0  1  5 19  7  0 -5 15],-8.657241539383516,-6.6022619845101795,123.094708588802,-7.305128767640945,-134.53848617687328
[ 1  4  7  0  1  5 19  7  0 -5 16],-6.470736396089332,-3.530613950565947,126.24384451714297,-5.081074957627092,-133.16176354729515
[ 1  4  7  0  1  5 19  7  0 -5 17],-4.614883605479457,-7.994932020176587,125.63897550775583,-3.944480096010775,-157.35649158790756
[ 1  4  7  0  1  5 19  7  0 -5 18],-7.047648097769497,-5.7592579920948745,118.25073790582857,-7.095837430443995,-122.97059074640498
